mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000054667.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085261	0	0	0	0	0
ENSMUSG00000031273.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031429.14	17.4716	22.2857	21.4102	29.5299	24.9234	31.64	22.9633	24.1149	23.2722	19.5711	21.6695	18.4166	29.1517	30.3061	36.3711	27.5668	22.2359	17.1895	23.4559	23.6304	23.6872	23.6127
ENSMUSG00000031430.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0.101491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438071	0	0	0	0	0	0	0
ENSMUSG00000031432.3	9.28902	14.9383	9.39199	8.048	9.42713	10.4823	8.31218	10.6786	7.26724	10.6772	17.6394	17.9362	12.3054	13.3181	17.9486	11.2978	12.2448	13.9096	13.1127	15.0155	14.9125	12.5855
ENSMUSG00000042433.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031433.15	10.714	9.56291	9.30992	8.03151	10.1053	12.5049	13.4753	9.27155	8.52673	8.76019	8.24874	11.4102	6.15313	11.0978	9.03889	9.20551	8.84304	8.13798	5.42295	6.5509	6.92403	8.63427
ENSMUSG00000047230.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072945.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098559.1	0	0	0	0	0	0	0	0	0	0	0	0	1.43848	0	0	0	0.807033	0	0	0.804792	0	0
ENSMUSG00000031438.11	0.234937	1.46865	1.9265	1.40668	1.50275	1.14184	1.0266	1.97662	1.33073	2.35185	0.732032	0.901144	1.30845	1.58027	0.800253	1.47653	0.841523	1.26587	1.50232	0.99852	0.968015	1.11549
ENSMUSG00000042498.16	0	0	0.139616	0	0	0	0	0	0	0	0	0	0	0.143096	0	0.152846	0	0	0	0	0	0.161668
