SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000268104.3	0.148365	0	0	0.16879	0.137261	0.184626	0	0.469649	0.173725	0	0	0	0	0	0	0
ENSG00000175718.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130224.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126016.15	0.864762	0.454354	0.110197	0.109307	0.355591	0.478192	0.642696	0.202729	0	0	0	0.128351	0.217647	0.205716	0.106693	0.104533
ENSG00000182508.14	0	0	0	0	0	0	0	0	0	0.457339	0	0	0	0	0	0
ENSG00000072315.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101901.12	14.2741	31.3459	33.4407	6.27822	13.0907	10.8474	31.6481	18.2097	9.03255	14.665	5.29817	5.56881	10.6405	5.79317	18.4971	7.28043
ENSG00000077264.15	1.01299	0.43629	0.495974	0.287818	0.197554	1.98249	0.468253	0.376551	0.084465	0.341351	0.087322	0.196114	0.412023	0.385081	0.419378	0.279716
ENSG00000101938.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157600.12	31.6025	9.23462	39.2637	17.3296	52.8645	29.6093	34.6798	18.9596	19.2211	42.1771	26.97	22.5059	40.9586	61.7121	42.0367	18.3871
ENSG00000147246.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000068366.20	21.0964	9.46269	21.1902	8.82485	42.1845	17.4753	33.8225	28.6696	18.2518	24.6645	32.7308	17.8999	12.8517	12.3436	24.3608	11.4852
ENSG00000101888.11	6.35021	5.48689	7.50722	4.66034	9.33467	5.43895	12.7921	5.61508	1.59828	6.95388	1.32308	2.18696	1.54612	1.75619	2.32789	3.8954
ENSG00000101890.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188153.14	0	0	0	0	0	0.234161	0	0	0	0	0	0.251234	0	0	0	0
ENSG00000197565.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101844.18	7.72805	4.62306	8.48125	3.66396	7.44658	6.42097	11.3679	6.11998	2.63841	6.49841	1.55974	1.48593	4.11263	5.59502	6.78362	3.85332
